"lake","station","date","depth","species.code","species","density.cells.l","biomass.mg.m3","length.um","width.um","cell.volume.um3","group"
"Conestogo","clc",2017-07-14,2,"P1205","Heterocycts (Aphanizomenon flos-aquae)",10400,0.72,7.9,4.1,69.5,"Cyanophyte"
"Conestogo","clc",2017-07-14,2,"P2101","Carteria spp.",14368,0.72,6,4,50.3,"Chlorophyte"
"Conestogo","clc",2017-07-14,2,"P2105","Chlamydomonas spp.",28736,0.76,5.6,3,26.4,"Chlorophyte"
"Conestogo","clc",2017-07-14,2,"P2112","Sphaerocystis schroeteri Chodat",316096,5.44,3.2,3.2,17.2,"Chlorophyte"
"Conestogo","clc",2017-07-14,2,"P2121","Oocystis lacustris Chodat",28736,1.45,6,4,50.3,"Chlorophyte"
"Conestogo","clc",2017-07-14,2,"P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova",14368,0.27,21,1.5,18.6,"Chlorophyte"
"Conestogo","clc",2017-07-14,2,"P2178","Cosmarium sp.",400,0.56,20,20,1396.3,"Chlorophyte"
"Conestogo","clc",2017-07-14,2,"P2204","Ankyra judai (G.M. Smith) Fott",574720,71.67,18,4.2,124.7,"Chlorophyte"
"Conestogo","clc",2017-07-14,2,"P4351","Small chrysophyceae",359200,5.06,3,3,14.1,"Chrysophyte"
"Conestogo","clc",2017-07-14,2,"P4352","Large chrysophyceae",14368,2.58,7,7,179.6,"Chrysophyte"
"Conestogo","clc",2017-07-14,2,"P4357","Chrysococcus sp.",43104,1.67,4.2,4.2,38.8,"Chrysophyte"
"Conestogo","clc",2017-07-14,2,"P4398","Ochromonas globosa Skuja",28736,4.13,6.5,6.5,143.8,"Chrysophyte"
"Conestogo","clc",2017-07-14,2,"P4401","Uroglena volvox Ehrenberg",28736,3.25,6,6,113.1,"Chrysophyte"
"Conestogo","clc",2017-07-14,2,"P4401","Uroglena volvox Ehrenberg",400,30.6,0,0,76500,"Chrysophyte"
"Conestogo","clc",2017-07-14,2,"P4418","Salpingoeca frequentissima (Zach.) Lemmermann",287360,7.04,5.2,3,24.5,"Chrysophyte"
"Conestogo","clc",2017-07-14,2,"P5508","Cyclotella pseudostelligera",57472,19.02,5.95,11.9,330.9,"Diatom"
"Conestogo","clc",2017-07-14,2,"P5515","Fragilaria crotonensis Kitton",4000,1.53,91.3,4,382.4,"Diatom"
"Conestogo","clc",2017-07-14,2,"P5524","Asterionella formosa Hassall",34800,2.92,80,2,83.8,"Diatom"
"Conestogo","clc",2017-07-14,2,"P5530","Stephanodiscus niagarae Ehrenberg",4400,62.2,20.8,41.6,14135.5,"Diatom"
"Conestogo","clc",2017-07-14,2,"P5540","Aulacoseira italica v subarctica (O. Muller) Simonsen",4800,103.88,400,8.3,21642.4,"Diatom"
"Conestogo","clc",2017-07-14,2,"P6554","Rhodomonas minuta Skuja",114944,18.06,12.5,6,157.1,"Cryptophyte"
"Conestogo","clc",2017-07-14,2,"P6558","Cryptomonas erosa Ehrenberg",14000,25.1,26.2,14,1792.5,"Cryptophyte"
"Conestogo","clc",2017-07-14,2,"P6565","Cryptomonas rostratiformis Skuja",6000,20.37,38,16,3395.7,"Cryptophyte"
"Conestogo","clc",2017-07-14,2,"P6568","Katablepharis ovalis Skuja",28736,1.67,9,4.1,58,"Cryptophyte"
"Conestogo","clc",2017-07-14,2,"P7644","Ceratium hirundenella (Muller) Schrank",400,20.78,62,40,51941,"Dinoflagellate"
"Conestogo","clc",2017-07-14,7,"P1041","Aphanizomenon flos-aquae Ralfs and Born.",27600,90.18,260,4,3267.3,"Cyanophyte"
"Conestogo","clc",2017-07-14,7,"P1076","Woronichinia compacta (Lemmermann) Komarek and Hindak",2000,6,0,0,3000,"Cyanophyte"
"Conestogo","clc",2017-07-14,7,"P1133","Anabaena flos-aquae (Lyngb.) Breb. & Bornet",800,3.86,240,6.2,4830.5,"Cyanophyte"
"Conestogo","clc",2017-07-14,7,"P1204","Heterocycts (Anabaena flos-aquae)",1200,0.16,6.3,6.3,130.9,"Cyanophyte"
"Conestogo","clc",2017-07-14,7,"P1205","Heterocycts (Aphanizomenon flos-aquae)",7600,0.58,8.3,4.2,76.7,"Cyanophyte"
"Conestogo","clc",2017-07-14,7,"P2101","Carteria spp.",14368,0.76,6.3,4,52.8,"Chlorophyte"
"Conestogo","clc",2017-07-14,7,"P2113","Pediastrum duplex Meyen",400,1.07,0,0,2675,"Chlorophyte"
"Conestogo","clc",2017-07-14,7,"P2204","Ankyra judai (G.M. Smith) Fott",560352,73.74,19,4.2,131.6,"Chlorophyte"
"Conestogo","clc",2017-07-14,7,"P2255","Selenastrum copricornutum Printz",28736,2.36,7.1,4.7,82.1,"Chlorophyte"
"Conestogo","clc",2017-07-14,7,"P4351","Small chrysophyceae",818976,11.55,3,3,14.1,"Chrysophyte"
"Conestogo","clc",2017-07-14,7,"P4352","Large chrysophyceae",28736,5.16,7,7,179.6,"Chrysophyte"
"Conestogo","clc",2017-07-14,7,"P4355","Chrysochromulina parva Lackey",14368,0.94,5,5,65.4,"Chrysophyte"
"Conestogo","clc",2017-07-14,7,"P4398","Ochromonas globosa Skuja",215520,30.99,6.5,6.5,143.8,"Chrysophyte"
"Conestogo","clc",2017-07-14,7,"P4401","Uroglena volvox Ehrenberg",86208,9.75,6,6,113.1,"Chrysophyte"
"Conestogo","clc",2017-07-14,7,"P5507","Cyclotella stelligera Cleve and Grunow",400,0.63,10,20,1570.8,"Diatom"
"Conestogo","clc",2017-07-14,7,"P5508","Cyclotella pseudostelligera",14368,3.75,5.5,11,261.3,"Diatom"
"Conestogo","clc",2017-07-14,7,"P5515","Fragilaria crotonensis Kitton",7200,2.14,71,4,297.4,"Diatom"
"Conestogo","clc",2017-07-14,7,"P5524","Asterionella formosa Hassall",52400,4.5,82,2,85.9,"Diatom"
"Conestogo","clc",2017-07-14,7,"P5530","Stephanodiscus niagarae Ehrenberg",2000,31.22,21.5,43,15611.2,"Diatom"
"Conestogo","clc",2017-07-14,7,"P5540","Aulacoseira italica v subarctica (O. Muller) Simonsen",4800,92.89,385,8,19352.2,"Diatom"
"Conestogo","clc",2017-07-14,7,"P5551","Cyclotella michiganiana Skvortzow",28736,0.55,2.3,4.6,19.1,"Diatom"
"Conestogo","clc",2017-07-14,7,"P6554","Rhodomonas minuta Skuja",143680,22.57,12.5,6,157.1,"Cryptophyte"
"Conestogo","clc",2017-07-14,7,"P6558","Cryptomonas erosa Ehrenberg",7600,13.83,26.6,14,1819.9,"Cryptophyte"
"Conestogo","clc",2017-07-14,7,"P6562","Cryptomonas reflexa (Marsson) Skuja",1200,0.8,19.1,10,666.7,"Cryptophyte"
"Conestogo","clc",2017-07-14,7,"P6565","Cryptomonas rostratiformis Skuja",5200,16.73,36,16,3217,"Cryptophyte"
"Conestogo","clc",2017-07-14,7,"P6568","Katablepharis ovalis Skuja",114944,7.45,9.4,4.2,64.8,"Cryptophyte"
"Conestogo","clc",2017-07-14,7,"P7644","Ceratium hirundenella (Muller) Schrank",3600,190,63,40,52778.8,"Dinoflagellate"
"Conestogo","clc",2017-07-18,2,"P1041","Aphanizomenon flos-aquae Ralfs and Born.",368800,1019.58,220,4,2764.6,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P1075","Microcystis aeruginosa (Kutzing) Kutzing",400,2.04,0,0,5100,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P1076","Woronichinia compacta (Lemmermann) Komarek and Hindak",8400,31.08,0,0,3700,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P1133","Anabaena flos-aquae (Lyngb.) Breb. & Bornet",2800,12.6,231,6.1,4500.6,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P1204","Heterocycts (Anabaena flos-aquae)",3200,0.4,6.2,6.2,124.8,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P1205","Heterocycts (Aphanizomenon flos-aquae)",142400,11.15,8.9,4.1,78.3,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P1210","Anabaena Akinetes",400,0.15,19,6.2,382.4,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P1211","Aphanizomenon Akinetes",2400,0.84,42,4,351.9,"Cyanophyte"
"Conestogo","clc",2017-07-18,2,"P2113","Pediastrum duplex Meyen",1200,4.2,0,0,3500,"Chlorophyte"
"Conestogo","clc",2017-07-18,2,"P2121","Oocystis lacustris Chodat",43104,2.17,6,4,50.3,"Chlorophyte"
"Conestogo","clc",2017-07-18,2,"P2204","Ankyra judai (G.M. Smith) Fott",344832,19.52,15,3.1,56.6,"Chlorophyte"
"Conestogo","clc",2017-07-18,2,"P4351","Small chrysophyceae",301728,3.11,2.7,2.7,10.3,"Chrysophyte"
"Conestogo","clc",2017-07-18,2,"P4352","Large chrysophyceae",14368,2.58,7,7,179.6,"Chrysophyte"
"Conestogo","clc",2017-07-18,2,"P4355","Chrysochromulina parva Lackey",14368,0.94,5,5,65.4,"Chrysophyte"
"Conestogo","clc",2017-07-18,2,"P4398","Ochromonas globosa Skuja",272992,37.48,6.4,6.4,137.3,"Chrysophyte"
"Conestogo","clc",2017-07-18,2,"P4418","Salpingoeca frequentissima (Zach.) Lemmermann",100576,2.46,5.2,3,24.5,"Chrysophyte"
"Conestogo","clc",2017-07-18,2,"P5508","Cyclotella pseudostelligera",14368,4.88,6,12,339.3,"Diatom"
"Conestogo","clc",2017-07-18,2,"P5515","Fragilaria crotonensis Kitton",3600,1.09,72,4,301.6,"Diatom"
"Conestogo","clc",2017-07-18,2,"P5524","Asterionella formosa Hassall",30400,2.58,81,2,84.8,"Diatom"
"Conestogo","clc",2017-07-18,2,"P5530","Stephanodiscus niagarae Ehrenberg",1200,22.34,22.8,45.6,18617.6,"Diatom"
"Conestogo","clc",2017-07-18,2,"P5540","Aulacoseira italica v subarctica (O. Muller) Simonsen",2000,40.14,380,8.2,20067.9,"Diatom"
"Conestogo","clc",2017-07-18,2,"P6554","Rhodomonas minuta Skuja",100576,15.8,12.5,6,157.1,"Cryptophyte"
"Conestogo","clc",2017-07-18,2,"P6565","Cryptomonas rostratiformis Skuja",400,1.22,34,16,3038.3,"Cryptophyte"
"Conestogo","clc",2017-07-18,2,"P7644","Ceratium hirundenella (Muller) Schrank",6000,321.7,64,40,53616.5,"Dinoflagellate"
"Conestogo","clc",2017-07-18,7,"P1041","Aphanizomenon flos-aquae Ralfs and Born.",12000,36.19,240,4,3015.9,"Cyanophyte"
"Conestogo","clc",2017-07-18,7,"P1076","Woronichinia compacta (Lemmermann) Komarek and Hindak",800,2.48,0,0,3100,"Cyanophyte"
"Conestogo","clc",2017-07-18,7,"P1205","Heterocycts (Aphanizomenon flos-aquae)",4400,0.29,7.6,4.1,66.9,"Cyanophyte"
"Conestogo","clc",2017-07-18,7,"P1211","Aphanizomenon Akinetes",2000,0.59,35.3,4,295.7,"Cyanophyte"
"Conestogo","clc",2017-07-18,7,"P2101","Carteria spp.",57472,3.03,6.3,4,52.8,"Chlorophyte"
"Conestogo","clc",2017-07-18,7,"P2101","Carteria spp.",14368,15.05,12.6,12.6,1047.4,"Chlorophyte"
"Conestogo","clc",2017-07-18,7,"P2112","Sphaerocystis schroeteri Chodat",57472,0.9,3.1,3.1,15.6,"Chlorophyte"
"Conestogo","clc",2017-07-18,7,"P2121","Oocystis lacustris Chodat",28736,0.77,5.7,3,26.9,"Chlorophyte"
"Conestogo","clc",2017-07-18,7,"P2204","Ankyra judai (G.M. Smith) Fott",143680,7.92,14.6,3.1,55.1,"Chlorophyte"
"Conestogo","clc",2017-07-18,7,"P4351","Small chrysophyceae",488512,6.89,3,3,14.1,"Chrysophyte"
"Conestogo","clc",2017-07-18,7,"P4352","Large chrysophyceae",43104,7.74,7,7,179.6,"Chrysophyte"
"Conestogo","clc",2017-07-18,7,"P4355","Chrysochromulina parva Lackey",28736,1.88,5,5,65.4,"Chrysophyte"
"Conestogo","clc",2017-07-18,7,"P4357","Chrysococcus sp.",57472,2.93,4.6,4.6,51,"Chrysophyte"
"Conestogo","clc",2017-07-18,7,"P4398","Ochromonas globosa Skuja",215520,37.07,6.9,6.9,172,"Chrysophyte"
"Conestogo","clc",2017-07-18,7,"P4401","Uroglena volvox Ehrenberg",229888,26,6,6,113.1,"Chrysophyte"
"Conestogo","clc",2017-07-18,7,"P4418","Salpingoeca frequentissima (Zach.) Lemmermann",201152,5.21,5.5,3,25.9,"Chrysophyte"
"Conestogo","clc",2017-07-18,7,"P5508","Cyclotella pseudostelligera",14368,3.75,5.5,11,261.3,"Diatom"
"Conestogo","clc",2017-07-18,7,"P5524","Asterionella formosa Hassall",56400,4.84,82,2,85.9,"Diatom"
"Conestogo","clc",2017-07-18,7,"P5530","Stephanodiscus niagarae Ehrenberg",1200,18.73,21.5,43,15611.2,"Diatom"
"Conestogo","clc",2017-07-18,7,"P5540","Aulacoseira italica v subarctica (O. Muller) Simonsen",400,8.66,410,8.2,21652.2,"Diatom"
"Conestogo","clc",2017-07-18,7,"P5551","Cyclotella michiganiana Skvortzow",28736,0.59,2.35,4.7,20.4,"Diatom"
"Conestogo","clc",2017-07-18,7,"P6554","Rhodomonas minuta Skuja",14368,2.17,12,6,150.8,"Cryptophyte"
"Conestogo","clc",2017-07-18,7,"P6568","Katablepharis ovalis Skuja",14368,0.69,8.3,4,48.1,"Cryptophyte"
"Conestogo","clc",2017-07-18,7,"P7632","Gymnodinium sp.",400,6.36,31.2,31.2,15902.4,"Dinoflagellate"
"Conestogo","clc",2017-07-18,7,"P7644","Ceratium hirundenella (Muller) Schrank",2000,100.53,60,40,50265.5,"Dinoflagellate"
"Conestogo","clc",2017-07-25,2,"P1041","Aphanizomenon flos-aquae Ralfs and Born.",1563000,4713.85,240,4,3015.9,"Cyanophyte"
"Conestogo","clc",2017-07-25,2,"P1075","Microcystis aeruginosa (Kutzing) Kutzing",2000,7.2,0,0,3600,"Cyanophyte"
"Conestogo","clc",2017-07-25,2,"P1076","Woronichinia compacta (Lemmermann) Komarek and Hindak",35000,98,0,0,2800,"Cyanophyte"
"Conestogo","clc",2017-07-25,2,"P1205","Heterocycts (Aphanizomenon flos-aquae)",269000,22.25,9.4,4.1,82.7,"Cyanophyte"
"Conestogo","clc",2017-07-25,2,"P1211","Aphanizomenon Akinetes",10000,3.08,29,4.5,307.5,"Cyanophyte"
"Conestogo","clc",2017-07-25,2,"P2101","Carteria spp.",198415,33.65,9,6,169.6,"Chlorophyte"
"Conestogo","clc",2017-07-25,2,"P2105","Chlamydomonas spp.",79366,4.79,7.2,4,60.3,"Chlorophyte"
"Conestogo","clc",2017-07-25,2,"P2121","Oocystis lacustris Chodat",79366,2.25,6,3,28.3,"Chlorophyte"
"Conestogo","clc",2017-07-25,2,"P2193","Staurodesmus paradoxum Meyen",1000,4.08,30,26,4084.1,"Chlorophyte"
"Conestogo","clc",2017-07-25,2,"P2204","Ankyra judai (G.M. Smith) Fott",357147,44.79,19,4.1,125.4,"Chlorophyte"
"Conestogo","clc",2017-07-25,2,"P4351","Small chrysophyceae",674611,4.86,2.4,2.4,7.2,"Chrysophyte"
"Conestogo","clc",2017-07-25,2,"P4352","Large chrysophyceae",39683,7.13,7,7,179.6,"Chrysophyte"
"Conestogo","clc",2017-07-25,2,"P4357","Chrysococcus sp.",238098,9.9,4.3,4.3,41.6,"Chrysophyte"
"Conestogo","clc",2017-07-25,2,"P4398","Ochromonas globosa Skuja",714294,98.07,6.4,6.4,137.3,"Chrysophyte"
"Conestogo","clc",2017-07-25,2,"P4418","Salpingoeca frequentissima (Zach.) Lemmermann",238098,6.9,5.4,3.2,29,"Chrysophyte"
"Conestogo","clc",2017-07-25,2,"P5507","Cyclotella stelligera Cleve and Grunow",1000,1.98,10.8,21.6,1978.8,"Diatom"
"Conestogo","clc",2017-07-25,2,"P5508","Cyclotella pseudostelligera",158732,41.48,5.5,11,261.3,"Diatom"
"Conestogo","clc",2017-07-25,2,"P5523","Synedra ulna (Nitzsch) Ehrenberg",1000,2.45,260,6,2450.4,"Diatom"
"Conestogo","clc",2017-07-25,2,"P5524","Asterionella formosa Hassall",44000,3.65,79.3,2,83,"Diatom"
"Conestogo","clc",2017-07-25,2,"P5530","Stephanodiscus niagarae Ehrenberg",5000,83.63,22,44,16725.8,"Diatom"
"Conestogo","clc",2017-07-25,2,"P5540","Aulacoseira italica v subarctica (O. Muller) Simonsen",16000,398.15,400,8.9,24884.6,"Diatom"
"Conestogo","clc",2017-07-25,2,"P5551","Cyclotella michiganiana Skvortzow",39683,0.76,2.3,4.6,19.1,"Diatom"
"Conestogo","clc",2017-07-25,2,"P6554","Rhodomonas minuta Skuja",317464,49.87,12.5,6,157.1,"Cryptophyte"
"Conestogo","clc",2017-07-25,2,"P6558","Cryptomonas erosa Ehrenberg",4000,7.14,26.1,14,1785.7,"Cryptophyte"
"Conestogo","clc",2017-07-25,2,"P6568","Katablepharis ovalis Skuja",793660,46.03,9,4.1,58,"Cryptophyte"
"Conestogo","clc",2017-07-25,2,"P7644","Ceratium hirundenella (Muller) Schrank",1000,51.94,62,40,51941,"Dinoflagellate"
"Conestogo","clc",2017-07-25,7,"P1041","Aphanizomenon flos-aquae Ralfs and Born.",787000,2670.21,270,4,3392.9,"Cyanophyte"
"Conestogo","clc",2017-07-25,7,"P1075","Microcystis aeruginosa (Kutzing) Kutzing",1000,3.5,0,0,3500,"Cyanophyte"
"Conestogo","clc",2017-07-25,7,"P1076","Woronichinia compacta (Lemmermann) Komarek and Hindak",22000,80.3,0,0,3650,"Cyanophyte"
"Conestogo","clc",2017-07-25,7,"P1205","Heterocycts (Aphanizomenon flos-aquae)",106000,8.02,8.6,4.1,75.7,"Cyanophyte"
"Conestogo","clc",2017-07-25,7,"P1211","Aphanizomenon Akinetes",9000,2.41,32,4,268.1,"Cyanophyte"
"Conestogo","clc",2017-07-25,7,"P2101","Carteria spp.",357147,37.39,8,5,104.7,"Chlorophyte"
"Conestogo","clc",2017-07-25,7,"P2126","Chodatella sp.",39683,2,6,4,50.3,"Chlorophyte"
"Conestogo","clc",2017-07-25,7,"P2174","Closterium sp.",1000,1.71,121,6,1710.6,"Chlorophyte"
"Conestogo","clc",2017-07-25,7,"P2243","Tetraspora sp.",595245,1.25,17,0.4,2.1,"Chlorophyte"
"Conestogo","clc",2017-07-25,7,"P4351","Small chrysophyceae",1150807,16.23,3,3,14.1,"Chrysophyte"
"Conestogo","clc",2017-07-25,7,"P4352","Large chrysophyceae",39683,7.13,7,7,179.6,"Chrysophyte"
"Conestogo","clc",2017-07-25,7,"P4357","Chrysococcus sp.",198415,12.98,5,5,65.4,"Chrysophyte"
"Conestogo","clc",2017-07-25,7,"P4398","Ochromonas globosa Skuja",476196,65.38,6.4,6.4,137.3,"Chrysophyte"
"Conestogo","clc",2017-07-25,7,"P4418","Salpingoeca frequentissima (Zach.) Lemmermann",1746052,59.71,6,3.3,34.2,"Chrysophyte"
"Conestogo","clc",2017-07-25,7,"P5508","Cyclotella pseudostelligera",119049,40.39,6,12,339.3,"Diatom"
"Conestogo","clc",2017-07-25,7,"P5524","Asterionella formosa Hassall",58000,4.86,80,2,83.8,"Diatom"
"Conestogo","clc",2017-07-25,7,"P5530","Stephanodiscus niagarae Ehrenberg",1000,15.61,21.5,43,15611.2,"Diatom"
"Conestogo","clc",2017-07-25,7,"P5540","Aulacoseira italica v subarctica (O. Muller) Simonsen",18000,380.29,410,8.1,21127.3,"Diatom"
"Conestogo","clc",2017-07-25,7,"P6554","Rhodomonas minuta Skuja",357147,57.89,12.9,6,162.1,"Cryptophyte"
"Conestogo","clc",2017-07-25,7,"P6558","Cryptomonas erosa Ehrenberg",4000,7.01,25.6,14,1751.5,"Cryptophyte"
"Conestogo","clc",2017-07-25,7,"P6565","Cryptomonas rostratiformis Skuja",1000,3.04,34,16,3038.3,"Cryptophyte"
"Conestogo","clc",2017-07-25,7,"P6568","Katablepharis ovalis Skuja",992075,58.93,9,4.2,59.4,"Cryptophyte"
"Conestogo","clc",2017-08-01,2,"P1041","Aphanizomenon flos-aquae Ralfs and Born.",978000,4131.85,320,4.1,4224.8,"Cyanophyte"
"Conestogo","clc",2017-08-01,2,"P1076","Woronichinia compacta (Lemmermann) Komarek and Hindak",34000,132.6,0,0,3900,"Cyanophyte"
"Conestogo","clc",2017-08-01,2,"P1205","Heterocycts (Aphanizomenon flos-aquae)",143000,9.94,7.9,4.1,69.5,"Cyanophyte"
"Conestogo","clc",2017-08-01,2,"P1211","Aphanizomenon Akinetes",2000,0.37,22.3,4,186.8,"Cyanophyte"
"Conestogo","clc",2017-08-01,2,"P2101","Carteria spp.",39683,3.63,7,5,91.6,"Chlorophyte"
"Conestogo","clc",2017-08-01,2,"P2105","Chlamydomonas spp.",515879,77.79,8,6,150.8,"Chlorophyte"
"Conestogo","clc",2017-08-01,2,"P2112","Sphaerocystis schroeteri Chodat",79366,1.24,3.1,3.1,15.6,"Chlorophyte"
"Conestogo","clc",2017-08-01,2,"P2113","Pediastrum duplex Meyen",1000,2.78,0,0,2775,"Chlorophyte"
"Conestogo","clc",2017-08-01,2,"P2193","Staurodesmus paradoxum Meyen",1000,4.45,31.3,26,4445.7,"Chlorophyte"
"Conestogo","clc",2017-08-01,2,"P2204","Ankyra judai (G.M. Smith) Fott",79366,4.19,14,3.1,52.8,"Chlorophyte"
"Conestogo","clc",2017-08-01,2,"P2255","Selenastrum copricornutum Printz",39683,0.67,8.1,2,17,"Chlorophyte"
"Conestogo","clc",2017-08-01,2,"P4351","Small chrysophyceae",1944467,20.03,2.7,2.7,10.3,"Chrysophyte"
"Conestogo","clc",2017-08-01,2,"P4352","Large chrysophyceae",158732,28.51,7,7,179.6,"Chrysophyte"
